Original_Index,type,desc,text,remedial,tokenized_desc,tokenized_text
106,LANDREG,Landlord Registration Required,"Tennessee Code Annotated (TCA) 66-28-101 - Failure to register as a landlord.  Each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.",CAAR_LAND_REG,"['Landlord', 'Registration', 'Required']","['Tennessee', 'Code', 'Annotated', '(', 'TCA', ')', '66-28-101', '-', 'Failure', 'to', 'register', 'as', 'a', 'landlord', '.', 'Each', 'landlord', 'of', 'one', '(', '1', ')', 'or', 'more', 'dwelling', 'units', 'within', 'Davidson', 'County', 'to', 'pay', 'a', '$', '10', 'registration', 'fee', 'and', 'furnish', 'the', 'following', 'information', 'to', 'the', 'Department', 'of', 'Codes', '(', 'A', ')', 'the', 'landlord', ""'s"", 'name', ',', 'address', 'and', 'telephone', 'number', ',', 'or', 'the', 'name', ',', 'address', 'and', 'telephone', 'number', 'of', 'the', 'landlord', ""'s"", 'agent', ';', 'and', '(', 'B', ')', 'list', 'the', 'street', 'address', 'and', 'unit', 'number', ',', 'as', 'appropriate', ',', 'for', 'each', 'dwelling', 'unit', 'that', 'the', 'landlord', 'owns', ',', 'leases', ',', 'or', 'subleases', 'or', 'has', 'the', 'right', 'to', 'own', ',', 'lease', ',', 'or', 'sublease', '.']"
376,CAAR_LAND_REG,LANDLORD REGISTRATION REQUIRED,"Tennessee Code Annotated (TCA) 66-28-101 - Failure to register as a landlord.  Each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.",,"['LANDLORD', 'REGISTRATION', 'REQUIRED']","['Tennessee', 'Code', 'Annotated', '(', 'TCA', ')', '66-28-101', '-', 'Failure', 'to', 'register', 'as', 'a', 'landlord', '.', 'Each', 'landlord', 'of', 'one', '(', '1', ')', 'or', 'more', 'dwelling', 'units', 'within', 'Davidson', 'County', 'to', 'pay', 'a', '$', '10', 'registration', 'fee', 'and', 'furnish', 'the', 'following', 'information', 'to', 'the', 'Department', 'of', 'Codes', '(', 'A', ')', 'the', 'landlord', ""'s"", 'name', ',', 'address', 'and', 'telephone', 'number', ',', 'or', 'the', 'name', ',', 'address', 'and', 'telephone', 'number', 'of', 'the', 'landlord', ""'s"", 'agent', ';', 'and', '(', 'B', ')', 'list', 'the', 'street', 'address', 'and', 'unit', 'number', ',', 'as', 'appropriate', ',', 'for', 'each', 'dwelling', 'unit', 'that', 'the', 'landlord', 'owns', ',', 'leases', ',', 'or', 'subleases', 'or', 'has', 'the', 'right', 'to', 'own', ',', 'lease', ',', 'or', 'sublease', '.']"
807,BT575101A2,Not Manufacturer and Wholesale Retail,"T.C.A 57-5-101(a)(2): Except as otherwise provided for in this part, no brewer or manufacturer of beer shall have any financial or ownership interest, direct or indirect, in the business of or a building containing a wholesale or retail licensee, including to furnish or loan any fixtures of any kind to a retail licensee, and no such brewer or manufacturer shall hold a wholesale or retail license. For purposes of this section, an indirect interest includes any interest acquired by affiliates, subsidiaries, corporate officials, partners, or employees of the brewer or manufacturer.",,"['Not', 'Manufacturer', 'and', 'Wholesale', 'Retail']","['T.C.A', '57-5-101', '(', 'a', ')', '(', '2', ')', ':', 'Except', 'as', 'otherwise', 'provided', 'for', 'in', 'this', 'part', ',', 'no', 'brewer', 'or', 'manufacturer', 'of', 'beer', 'shall', 'have', 'any', 'financial', 'or', 'ownership', 'interest', ',', 'direct', 'or', 'indirect', ',', 'in', 'the', 'business', 'of', 'or', 'a', 'building', 'containing', 'a', 'wholesale', 'or', 'retail', 'licensee', ',', 'including', 'to', 'furnish', 'or', 'loan', 'any', 'fixtures', 'of', 'any', 'kind', 'to', 'a', 'retail', 'licensee', ',', 'and', 'no', 'such', 'brewer', 'or', 'manufacturer', 'shall', 'hold', 'a', 'wholesale', 'or', 'retail', 'license', '.', 'For', 'purposes', 'of', 'this', 'section', ',', 'an', 'indirect', 'interest', 'includes', 'any', 'interest', 'acquired', 'by', 'affiliates', ',', 'subsidiaries', ',', 'corporate', 'officials', ',', 'partners', ',', 'or', 'employees', 'of', 'the', 'brewer', 'or', 'manufacturer', '.']"
808,BT575101A3,Not Wholesale and Manufacturer Retail,"T.C.A 57-5-101(a)(3): Except as otherwise provided for in this part, no wholesaler shall hold any financial or ownership interest, direct or indirect, in the business of or a building containing a brewer, manufacturer, or retail licensee, including to furnish or loan any fixtures of any kind to a retail licensee, and no such wholesaler shall hold a manufacturer or retail license.",,"['Not', 'Wholesale', 'and', 'Manufacturer', 'Retail']","['T.C.A', '57-5-101', '(', 'a', ')', '(', '3', ')', ':', 'Except', 'as', 'otherwise', 'provided', 'for', 'in', 'this', 'part', ',', 'no', 'wholesaler', 'shall', 'hold', 'any', 'financial', 'or', 'ownership', 'interest', ',', 'direct', 'or', 'indirect', ',', 'in', 'the', 'business', 'of', 'or', 'a', 'building', 'containing', 'a', 'brewer', ',', 'manufacturer', ',', 'or', 'retail', 'licensee', ',', 'including', 'to', 'furnish', 'or', 'loan', 'any', 'fixtures', 'of', 'any', 'kind', 'to', 'a', 'retail', 'licensee', ',', 'and', 'no', 'such', 'wholesaler', 'shall', 'hold', 'a', 'manufacturer', 'or', 'retail', 'license', '.']"
809,BT575103A1,Operating without county city permit,"T.C.A 57-5-103(a)(1): It is unlawful to operate any business engaged in the sale, distribution, manufacture, or storage of beer without a permit issued by the county or city where such business is located under the authority herein delegated to counties and cities.",,"['Operating', 'without', 'county', 'city', 'permit']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '1', ')', ':', 'It', 'is', 'unlawful', 'to', 'operate', 'any', 'business', 'engaged', 'in', 'the', 'sale', ',', 'distribution', ',', 'manufacture', ',', 'or', 'storage', 'of', 'beer', 'without', 'a', 'permit', 'issued', 'by', 'the', 'county', 'or', 'city', 'where', 'such', 'business', 'is', 'located', 'under', 'the', 'authority', 'herein', 'delegated', 'to', 'counties', 'and', 'cities', '.']"
810,BT575103A10,Permits to citizen legal resident,"T.C.A 57-5-103(a)(10): After July 1, 2015, a city or county shall not issue a permit under this chapter unless the applicant has been a citizen or lawful resident of the United States for not less than one (1) year immediately preceding the date upon which the application is made to the city or county.",,"['Permits', 'to', 'citizen', 'legal', 'resident']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '10', ')', ':', 'After', 'July', '1', ',', '2015', ',', 'a', 'city', 'or', 'county', 'shall', 'not', 'issue', 'a', 'permit', 'under', 'this', 'chapter', 'unless', 'the', 'applicant', 'has', 'been', 'a', 'citizen', 'or', 'lawful', 'resident', 'of', 'the', 'United', 'States', 'for', 'not', 'less', 'than', 'one', '(', '1', ')', 'year', 'immediately', 'preceding', 'the', 'date', 'upon', 'which', 'the', 'application', 'is', 'made', 'to', 'the', 'city', 'or', 'county', '.']"
811,BT575103A2,Permit to business owner,"T.C.A 57-5-103(a)(2): Permits shall be issued to the owner of the business or other entity responsible for the premises for which the permit is sought, whether a person, firm, corporation, joint-stock company, syndicate, association, or governmental entity where the governing body has authorized such sales of beer.",,"['Permit', 'to', 'business', 'owner']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '2', ')', ':', 'Permits', 'shall', 'be', 'issued', 'to', 'the', 'owner', 'of', 'the', 'business', 'or', 'other', 'entity', 'responsible', 'for', 'the', 'premises', 'for', 'which', 'the', 'permit', 'is', 'sought', ',', 'whether', 'a', 'person', ',', 'firm', ',', 'corporation', ',', 'joint-stock', 'company', ',', 'syndicate', ',', 'association', ',', 'or', 'governmental', 'entity', 'where', 'the', 'governing', 'body', 'has', 'authorized', 'such', 'sales', 'of', 'beer', '.']"
812,BT575103A3A,Cannot transfer ownership,"T.C.A 57-5-103(a)(3)(A): A permit shall be valid only for the owner to whom the permit is issued and cannot be transferred to another owner. If the owner is a corporation, a change in ownership shall occur when control of at least fifty percent (50%) of the stock of the corporation is transferred to a new owner;",,"['Can', 'not', 'transfer', 'ownership']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '3', ')', '(', 'A', ')', ':', 'A', 'permit', 'shall', 'be', 'valid', 'only', 'for', 'the', 'owner', 'to', 'whom', 'the', 'permit', 'is', 'issued', 'and', 'can', 'not', 'be', 'transferred', 'to', 'another', 'owner', '.', 'If', 'the', 'owner', 'is', 'a', 'corporation', ',', 'a', 'change', 'in', 'ownership', 'shall', 'occur', 'when', 'control', 'of', 'at', 'least', 'fifty', 'percent', '(', '50', '%', ')', 'of', 'the', 'stock', 'of', 'the', 'corporation', 'is', 'transferred', 'to', 'a', 'new', 'owner', ';']"
813,BT575103A3B,Permit for single location only,"T.C.A 57-5-103(a)(3)(B): A permit shall be valid only for a single location, except as provided in subdivision (a)(4), and cannot be transferred to another location. A permit shall be valid for all decks, patios and other outdoor serving areas that are contiguous to the exterior of the building in which the business is located and that are operated by the business; and",,"['Permit', 'for', 'single', 'location', 'only']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '3', ')', '(', 'B', ')', ':', 'A', 'permit', 'shall', 'be', 'valid', 'only', 'for', 'a', 'single', 'location', ',', 'except', 'as', 'provided', 'in', 'subdivision', '(', 'a', ')', '(', '4', ')', ',', 'and', 'can', 'not', 'be', 'transferred', 'to', 'another', 'location', '.', 'A', 'permit', 'shall', 'be', 'valid', 'for', 'all', 'decks', ',', 'patios', 'and', 'other', 'outdoor', 'serving', 'areas', 'that', 'are', 'contiguous', 'to', 'the', 'exterior', 'of', 'the', 'building', 'in', 'which', 'the', 'business', 'is', 'located', 'and', 'that', 'are', 'operated', 'by', 'the', 'business', ';', 'and']"
814,BT575103A3C,Business Name same as Permit Name,T.C.A 57-5-103(a)(3)(C): A permit shall be valid only for a business operating under the name identified in the permit application.,,"['Business', 'Name', 'same', 'as', 'Permit', 'Name']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '3', ')', '(', 'C', ')', ':', 'A', 'permit', 'shall', 'be', 'valid', 'only', 'for', 'a', 'business', 'operating', 'under', 'the', 'name', 'identified', 'in', 'the', 'permit', 'application', '.']"
815,BT575103A4,Two businesses one location one permit,"T.C.A 57-5-103(a)(4): Where an owner operates two (2) or more restaurants or other businesses within the same building, the owner may in the owner's discretion operate some or all such businesses pursuant to the same permit.",,"['Two', 'businesses', 'one', 'location', 'one', 'permit']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '4', ')', ':', 'Where', 'an', 'owner', 'operates', 'two', '(', '2', ')', 'or', 'more', 'restaurants', 'or', 'other', 'businesses', 'within', 'the', 'same', 'building', ',', 'the', 'owner', 'may', 'in', 'the', 'owner', ""'s"", 'discretion', 'operate', 'some', 'or', 'all', 'such', 'businesses', 'pursuant', 'to', 'the', 'same', 'permit', '.']"
816,BT575103A5,On Sale Off Sale one permit,T.C.A 57-5-103(a)(5): A business can sell beer for both on-premises and off-premises consumption at the same location pursuant to one (1) permit.,,"['On', 'Sale', 'Off', 'Sale', 'one', 'permit']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '5', ')', ':', 'A', 'business', 'can', 'sell', 'beer', 'for', 'both', 'on-premises', 'and', 'off-premises', 'consumption', 'at', 'the', 'same', 'location', 'pursuant', 'to', 'one', '(', '1', ')', 'permit', '.']"
817,BT575103A6,Return within 15 days of termination,"T.C.A 57-5-103(a)(6): A permit holder must return a permit to the county or city that issued it within fifteen (15) days of termination of the business, change in ownership, relocation of the business or change of the business's name; provided, that notwithstanding the failure to return a beer permit, a permit shall expire on termination of the business, change in ownership, relocation of the business or change of the business's name.",,"['Return', 'within', '15', 'days', 'of', 'termination']","['T.C.A', '57-5-103', '(', 'a', ')', '(', '6', ')', ':', 'A', 'permit', 'holder', 'must', 'return', 'a', 'permit', 'to', 'the', 'county', 'or', 'city', 'that', 'issued', 'it', 'within', 'fifteen', '(', '15', ')', 'days', 'of', 'termination', 'of', 'the', 'business', ',', 'change', 'in', 'ownership', ',', 'relocation', 'of', 'the', 'business', 'or', 'change', 'of', 'the', 'business', ""'s"", 'name', ';', 'provided', ',', 'that', 'notwithstanding', 'the', 'failure', 'to', 'return', 'a', 'beer', 'permit', ',', 'a', 'permit', 'shall', 'expire', 'on', 'termination', 'of', 'the', 'business', ',', 'change', 'in', 'ownership', ',', 'relocation', 'of', 'the', 'business', 'or', 'change', 'of', 'the', 'business', ""'s"", 'name', '.']"
818,BT575103D1,"No valid cert to sell, dist, manufacture","T.C.A 57-5-103(d)(1): It is unlawful for any person to sell, distribute or manufacture beer without having a valid certificate indicating that purchases of beer by that person are ""for resale"" as that term is used in section 67-6-102(75)(A).",,"['No', 'valid', 'cert', 'to', 'sell', ',', 'dist', ',', 'manufacture']","['T.C.A', '57-5-103', '(', 'd', ')', '(', '1', ')', ':', 'It', 'is', 'unlawful', 'for', 'any', 'person', 'to', 'sell', ',', 'distribute', 'or', 'manufacture', 'beer', 'without', 'having', 'a', 'valid', 'certificate', 'indicating', 'that', 'purchases', 'of', 'beer', 'by', 'that', 'person', 'are', '``', 'for', 'resale', ""''"", 'as', 'that', 'term', 'is', 'used', 'in', 'section', '67-6-102', '(', '75', ')', '(', 'A', ')', '.']"
819,BT575103D2,Resale cert not displayed distributed,"T.C.A 57-5-103(d)(2): Within ten (10) days after being issued a permit to sell, distribute or manufacture beer, a person shall file with the county or city issuing the permit and with each person from whom the person buys beer a copy of a valid certificate indicating that the purchases of beer are ""for resale"" as that term is used in section 67-6-102(75)(A), and shall subsequently maintain at all times a valid resale certificate on file with the county or city issuing the permit and with each person from whom the person buys beer.",,"['Resale', 'cert', 'not', 'displayed', 'distributed']","['T.C.A', '57-5-103', '(', 'd', ')', '(', '2', ')', ':', 'Within', 'ten', '(', '10', ')', 'days', 'after', 'being', 'issued', 'a', 'permit', 'to', 'sell', ',', 'distribute', 'or', 'manufacture', 'beer', ',', 'a', 'person', 'shall', 'file', 'with', 'the', 'county', 'or', 'city', 'issuing', 'the', 'permit', 'and', 'with', 'each', 'person', 'from', 'whom', 'the', 'person', 'buys', 'beer', 'a', 'copy', 'of', 'a', 'valid', 'certificate', 'indicating', 'that', 'the', 'purchases', 'of', 'beer', 'are', '``', 'for', 'resale', ""''"", 'as', 'that', 'term', 'is', 'used', 'in', 'section', '67-6-102', '(', '75', ')', '(', 'A', ')', ',', 'and', 'shall', 'subsequently', 'maintain', 'at', 'all', 'times', 'a', 'valid', 'resale', 'certificate', 'on', 'file', 'with', 'the', 'county', 'or', 'city', 'issuing', 'the', 'permit', 'and', 'with', 'each', 'person', 'from', 'whom', 'the', 'person', 'buys', 'beer', '.']"
