Original_Index,type,desc,text,remedial,tokenized_desc,tokenized_text
15,,N,(B). It is unlawful for any person to dispose of or cause to be disposed any waste in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle. ,1.0,['N'],"['(', 'B', ')', '.', 'It', 'is', 'unlawful', 'for', 'any', 'person', 'to', 'dispose', 'of', 'or', 'cause', 'to', 'be', 'disposed', 'any', 'waste', 'in', 'any', 'private', 'receptacle', 'other', 'than', 'the', 'person', ""'s"", 'own', 'private', 'receptacle', 'or', 'unless', 'authorized', 'to', 'do', 'so', 'by', 'the', 'owner', 'of', 'the', 'private', 'receptacle', '.']"
438,,,"he or she shall serve notice of the risk and the need for the removal, and allow thirty days for the removal of the ",,[],"['he', 'or', 'she', 'shall', 'serve', 'notice', 'of', 'the', 'risk', 'and', 'the', 'need', 'for', 'the', 'removal', ',', 'and', 'allow', 'thirty', 'days', 'for', 'the', 'removal', 'of', 'the']"
439,,N,tree at the expense of the property owner,2.0,['N'],"['tree', 'at', 'the', 'expense', 'of', 'the', 'property', 'owner']"
707,,,"human occupation or use, upon failure or refusal to comply with a notice to repair, alter, improve, vacate and close,",,[],"['human', 'occupation', 'or', 'use', ',', 'upon', 'failure', 'or', 'refusal', 'to', 'comply', 'with', 'a', 'notice', 'to', 'repair', ',', 'alter', ',', 'improve', ',', 'vacate', 'and', 'close', ',']"
708,,N,"remove or demolish, such dwelling or structure, shall be guilty of a misdemeanor and subject to the penalties prescribed in this code.  16.24.660",2.0,['N'],"['remove', 'or', 'demolish', ',', 'such', 'dwelling', 'or', 'structure', ',', 'shall', 'be', 'guilty', 'of', 'a', 'misdemeanor', 'and', 'subject', 'to', 'the', 'penalties', 'prescribed', 'in', 'this', 'code', '.', '16.24.660']"
895,,N,"4.    A valid identification card showing a recent photograph, issued by any agency of the State or County for the purpose of identification.",10635.0,['N'],"['4', '.', 'A', 'valid', 'identification', 'card', 'showing', 'a', 'recent', 'photograph', ',', 'issued', 'by', 'any', 'agency', 'of', 'the', 'State', 'or', 'County', 'for', 'the', 'purpose', 'of', 'identification', '.']"
897,,,A.   Department of Health,,[],"['A', '.', 'Department', 'of', 'Health']"
898,,,B.   Fire Marshal Approval,,[],"['B', '.', 'Fire', 'Marshal', 'Approval']"
899,,,C.   Certificate of Registration or Tax Exempt Letter from Charity or Non-profit        organizations ,,[],"['C.', 'Certificate', 'of', 'Registration', 'or', 'Tax', 'Exempt', 'Letter', 'from', 'Charity', 'or', 'Non-profit', 'organizations']"
900,,,"D.  Letter from charitable organization (only if event is held on public property and applicant is not a charity, non-profit or political organization – see Rule 8)  ",,[],"['D.', 'Letter', 'from', 'charitable', 'organization', '(', 'only', 'if', 'event', 'is', 'held', 'on', 'public', 'property', 'and', 'applicant', 'is', 'not', 'a', 'charity', ',', 'non-profit', 'or', 'political', 'organization', '–', 'see', 'Rule', '8', ')']"
