,id,type,desc,text,remedial
481,627,CAGA_DEX,DOG EXCREMENT,MCL Chapter 8.04.180 – Removal of Excrement.  A dog owner shall clean up and remove any excrement left by his or her dog(s) on any public property or private property not owned or lawfully possessed by the dog owner.,
482,628,CAGB_HAZ_W,HAZARDOUS WASTE,"MCL Chapter 10.20.150 - Hazardous, pathogenic and radioactive waste.  All pathological waste from physician's clinics, dental clinics, blood banks and medical or microbiological laboratories shall be separate from normal waste, placed in durable disposable bags that can be tied and sealed when full. The bags shall be stored in metal containers with tight-fitting lids.",
483,629,CAGC_GCL,GARBAGE CONTAINER LIDS,MCL Chapter 10.20.160 – Container Requirements.  Lids or covers must be provided for all such containers and they shall be kept tightly closed at all times other than where garbage is being deposited therein or removed therefrom.,
484,630,CAGD_ID,ILLEGAL DUMPING,"MCL Chapter 10.20.320 – Illegal Dumping.  It is unlawful for any person to dispose of or cause to be disposed any garbage, rubbish or other waste material upon any property other than a garbage disposal facility or sanitary landfill so designated by the metropolitan government.  It is unlawful for any person to dispose of or cause to be disposed any garbage, rubbish or other waste material in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle.",
485,631,CAGE_LPR,LITTER ON PRIVATE PROPERTY,"MCL Chapter 10.24.070 - Litter on private property--Responsibilities of owners.  The owner or person in control of any private property shall at all times maintain the premises free of litter. Provided, however, that this section shall not prohibit the storage of litter in authorized private receptacles for collection.",
486,632,CAGF_LPU,LITTER ON PUBLIC PROPERTY,MCL Chapter 10.24.140 - Litter on vacant lots.  No person shall throw or deposit litter on any open or vacant private property within the area of metropolitan government whether owned by such person or not.,
487,633,CAGG_LVH,LITTER FROM VEHICLES,"MCL Chapter 10.24.150 - Litter from vehicles--Liability of drivers.  No person, while a driver or passenger in a vehicle, shall throw or deposit litter upon any street or other public place within the area of metropolitan government, or upon private property. The driver of a vehicle from which litter is thrown shall be deemed prima facie liable for any litter thrown from the vehicle.",
488,634,CAGH_HWG,EXCESS VEGETATION,MCL Chapter 10.26.010 – Every premise including vacant lots shall be kept free of excessive vegetation.,
489,635,CAGI_GCAN,GARBAGE APPROVED CONTAINERS,MCL Chapter 10.32.120 - All garbage and trash shall be stored in covered garbage containers that have been approved by Metropolitan Public Works Department and shall have tight fitting lids.,
490,636,CAGJ_GT_RATS,RAT HARBORAGE GARBAGE,MCL Chapter 10.32.130 – Permitting garbage and trash to accumulate creating food and harborage for rats.  To clean premises of all garbage and trash.,
