,id,type,desc,text,remedial
0,1,BANNERS,Banners,Section 17.32.060 & 17.32.070 -  Banners: Banners may be used as temporary on-premises signs with proper permits. All permanent on-premises signs shall be constructed of rigid materials. ,CAAZ_BANNERS
1,2,BGMATOWNER,Proper Maintenance Req - Owner,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems.",CAAH_BG_MATOWNER
2,4,BLDGMAINT,Proper Maintenance Req,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition.",CAAH_BLDG_MAINT
3,5,BLDGPERMIT,Building Permit Required,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof.",CAAB_BLDG_PERMIT
4,6,BLDGSCOPE,Scope of Building Code,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems.",CAAH_BLDG_SCOPE
5,7,BOARDINGRQ,Boarding Requirements,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building. ",CAAH_BOARDING_REQU
6,8,BOARDVAC,Boarding of Vacant Buildings,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured.",CAAH_BOARDING_VABLDG
7,9,CARROW,Vehicle In The Right-Of-Way,"Section 12.08.210 - Abandoned Vehicles: Abandoned vehicles on the street, alley, highway or thoroughfare is prohibited. -",CAMCL_SEW_CONCT
8,10,CERTCOMP,Certificate of Compliance Required,"Section 17.40.580 - Certificate of Compliance: Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of this zoning code. The certificate of compliance shall be posted within the building in a manner viewable by the public.",CAAZ_CERT_COMP
9,11,CERTOCC,Certificate of Occupancy Required,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued. ",CAAH_CERT_OCC
